,Nome,Turno,2018,2019,2020,2021,2022
0,ADMINISTRAÇÃO,Matutino,678.14,715.6,690.28,699.54,705.16
1,ADMINISTRAÇÃO,Noturno,702.92,716.9,709.44,706.82,705.92
2,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,677.38,683.84,666.56,672.24,666.14
3,AGRONOMIA,Matutino,601.3,660.96,653.62,657.64,637.14
4,ANTROPOLOGIA,Noturno,676.4,691.42,689.64,680.8,674.5
5,AQUACULTURA,Matutino,670.8,641.7,655.0,645.66,568.4
6,ARQUITETURA E URBANISMO,Matutino,720.22,750.76,737.06,739.72,731.68
7,ARQUITETURA E URBANISMO,Noturno,713.82,737.34,717.78,727.72,730.68
8,ARQUIVOLOGIA,Noturno,652.14,647.08,630.16,612.5,620.66
9,BIBLIOTECONOMIA,Matutino,631.46,632.28,640.2,618.86,622.42
10,BIBLIOTECONOMIA,Noturno,642.6,634.0,642.8,622.84,622.68
11,BIOMEDICINA,Noturno,728.26,744.66,729.82,748.46,749.18
12,CIÊNCIA DA COMPUTAÇÃO,Matutino,734.26,759.94,750.16,768.02,766.76
13,CIÊNCIAS ATUARIAIS,Matutino,680.5,697.6,697.88,691.8,685.58
14,CIÊNCIAS BIOLÓGICAS,Matutino,691.26,719.98,691.14,711.08,717.26
15,CIÊNCIAS BIOLÓGICAS,Noturno,685.36,692.64,696.82,692.9,704.68
16,CIÊNCIAS CONTÁBEIS,Noturno,695.54,708.16,703.74,702.98,704.3
17,CIÊNCIAS DO ESTADO,Vespertino,690.08,686.1,699.8,688.76,687.14
18,CIÊNCIAS ECONÔMICAS,Matutino,706.68,734.92,723.2,725.18,725.58
19,CIÊNCIAS SOCIAIS,Matutino,671.82,705.04,693.22,694.8,682.94
20,CIÊNCIAS SOCIOAMBIENTAIS,Noturno,668.12,673.18,674.74,661.82,645.32
21,"CONSERVAÇÃO E RESTAURAÇÃO DE BENSCULTURAIS MÓVEIS",Matutino,651.82,679.74,669.46,674.28,655.04
22,CONTROLADORIA E FINANÇAS,Matutino,699.3,723.5,714.6,717.08,698.28
23,DESIGN,Noturno,694.36,720.06,706.68,714.86,721.9
24,DIREITO,Matutino,731.96,747.48,730.22,744.82,746.32
25,DIREITO,Noturno,726.96,736.48,723.3,737.52,738.44
26,EDUCAÇÃO FÍSICA (Bacharelado),Matutino,688.22,687.76,678.64,688.62,674.96
27,EDUCAÇÃO FÍSICA (Bacharelado),Noturno,679.5,693.86,676.9,678.42,681.4
28,EDUCAÇÃO FÍSICA (Licenciatura),Matutino,657.42,657.64,667.0,649.88,660.82
29,ENFERMAGEM,Matutino,697.52,714.86,718.48,723.04,718.78
30,ENGENHARIA AEROESPACIAL,Matutino,751.24,771.86,748.08,768.92,775.56
31,ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,635.28,624.52,650.2,635.6,640.44
32,ENGENHARIA AMBIENTAL,Matutino,691.12,721.8,710.78,708.56,716.9
33,ENGENHARIA CIVIL,Matutino,723.74,726.86,706.5,717.34,711.5
